train_loss,train_elbo_loss,epoch,step,val_CRPS_0.5,val_NRMSE_0.5,val_ND_0.5,val_CRPS_1.0,val_NRMSE_1.0,val_ND_1.0,val_CRPS_2.0,val_NRMSE_2.0,val_ND_2.0,val_CRPS_4.0,val_NRMSE_4.0,val_ND_4.0,val_CRPS_8.0,val_NRMSE_8.0,val_ND_8.0,val_CRPS_16.0,val_NRMSE_16.0,val_ND_16.0,val_CRPS_24.0,val_NRMSE_24.0,val_ND_24.0,val_CRPS_32.0,val_NRMSE_32.0,val_ND_32.0
0.3762795031070709,0.3762795031070709,0,127,,,,,,,,,,,,,,,,,,,,,,,,
0.27530601620674133,0.27530601620674133,1,255,,,,,,,,,,,,,,,,,,,,,,,,
0.25381338596343994,0.25381338596343994,2,383,,,,,,,,,,,,,,,,,,,,,,,,
0.09254036098718643,0.09254036098718643,3,511,,,,,,,,,,,,,,,,,,,,,,,,
0.08495283871889114,0.08495283871889114,4,639,,,,,,,,,,,,,,,,,,,,,,,,
0.3967348337173462,0.3967348337173462,5,767,,,,,,,,,,,,,,,,,,,,,,,,
0.16455484926700592,0.16455484926700592,6,895,,,,,,,,,,,,,,,,,,,,,,,,
0.19161342084407806,0.19161342084407806,7,1023,,,,,,,,,,,,,,,,,,,,,,,,
0.06983388960361481,0.06983388960361481,8,1151,,,,,,,,,,,,,,,,,,,,,,,,
0.23057103157043457,0.23057103157043457,9,1279,,,,,,,,,,,,,,,,,,,,,,,,
0.06926579028367996,0.06926579028367996,10,1407,,,,,,,,,,,,,,,,,,,,,,,,
0.06891316175460815,0.06891316175460815,11,1535,,,,,,,,,,,,,,,,,,,,,,,,
0.09071476757526398,0.09071476757526398,12,1663,,,,,,,,,,,,,,,,,,,,,,,,
0.09519320726394653,0.09519320726394653,13,1791,,,,,,,,,,,,,,,,,,,,,,,,
0.06357462704181671,0.06357462704181671,14,1919,,,,,,,,,,,,,,,,,,,,,,,,
0.06393636763095856,0.06393636763095856,15,2047,,,,,,,,,,,,,,,,,,,,,,,,
0.17210352420806885,0.17210352420806885,16,2175,,,,,,,,,,,,,,,,,,,,,,,,
0.063592828810215,0.063592828810215,17,2303,,,,,,,,,,,,,,,,,,,,,,,,
0.10305215418338776,0.10305215418338776,18,2431,,,,,,,,,,,,,,,,,,,,,,,,
0.10000146180391312,0.10000146180391312,19,2559,,,,,,,,,,,,,,,,,,,,,,,,
0.10864833742380142,0.10864833742380142,20,2687,,,,,,,,,,,,,,,,,,,,,,,,
0.06081389635801315,0.06081389635801315,21,2815,,,,,,,,,,,,,,,,,,,,,,,,
0.17550203204154968,0.17550203204154968,22,2943,,,,,,,,,,,,,,,,,,,,,,,,
0.06048958748579025,0.06048958748579025,23,3071,,,,,,,,,,,,,,,,,,,,,,,,
0.3306795060634613,0.3306795060634613,24,3199,,,,,,,,,,,,,,,,,,,,,,,,
0.06831280887126923,0.06831280887126923,25,3327,,,,,,,,,,,,,,,,,,,,,,,,
0.28270578384399414,0.28270578384399414,26,3455,,,,,,,,,,,,,,,,,,,,,,,,
0.09777438640594482,0.09777438640594482,27,3583,,,,,,,,,,,,,,,,,,,,,,,,
0.05863979458808899,0.05863979458808899,28,3711,,,,,,,,,,,,,,,,,,,,,,,,
0.1967480331659317,0.1967480331659317,29,3839,,,,,,,,,,,,,,,,,,,,,,,,
0.05938258022069931,0.05938258022069931,30,3967,,,,,,,,,,,,,,,,,,,,,,,,
0.05470404028892517,0.05470404028892517,31,4095,,,,,,,,,,,,,,,,,,,,,,,,
0.060091979801654816,0.060091979801654816,32,4223,,,,,,,,,,,,,,,,,,,,,,,,
0.27113670110702515,0.27113670110702515,33,4351,,,,,,,,,,,,,,,,,,,,,,,,
0.06275634467601776,0.06275634467601776,34,4479,,,,,,,,,,,,,,,,,,,,,,,,
0.05725032463669777,0.05725032463669777,35,4607,,,,,,,,,,,,,,,,,,,,,,,,
0.06130252033472061,0.06130252033472061,36,4735,,,,,,,,,,,,,,,,,,,,,,,,
0.13472780585289001,0.13472780585289001,37,4863,,,,,,,,,,,,,,,,,,,,,,,,
0.06696944683790207,0.06696944683790207,38,4991,,,,,,,,,,,,,,,,,,,,,,,,
0.05474649369716644,0.05474649369716644,39,5119,,,,,,,,,,,,,,,,,,,,,,,,
0.13680772483348846,0.13680772483348846,40,5247,,,,,,,,,,,,,,,,,,,,,,,,
0.20952312648296356,0.20952312648296356,41,5375,,,,,,,,,,,,,,,,,,,,,,,,
0.05662345886230469,0.05662345886230469,42,5503,,,,,,,,,,,,,,,,,,,,,,,,
0.05594303086400032,0.05594303086400032,43,5631,,,,,,,,,,,,,,,,,,,,,,,,
0.054166194051504135,0.054166194051504135,44,5759,,,,,,,,,,,,,,,,,,,,,,,,
0.05269747972488403,0.05269747972488403,45,5887,,,,,,,,,,,,,,,,,,,,,,,,
0.05460391938686371,0.05460391938686371,46,6015,,,,,,,,,,,,,,,,,,,,,,,,
0.11695164442062378,0.11695164442062378,47,6143,,,,,,,,,,,,,,,,,,,,,,,,
0.10046842694282532,0.10046842694282532,48,6271,,,,,,,,,,,,,,,,,,,,,,,,
0.05262961611151695,0.05262961611151695,49,6399,,,,,,,,,,,,,,,,,,,,,,,,
0.18691636621952057,0.18691636621952057,50,6527,,,,,,,,,,,,,,,,,,,,,,,,
0.05527374893426895,0.05527374893426895,51,6655,,,,,,,,,,,,,,,,,,,,,,,,
0.12202920019626617,0.12202920019626617,52,6783,,,,,,,,,,,,,,,,,,,,,,,,
0.12379403412342072,0.12379403412342072,53,6911,,,,,,,,,,,,,,,,,,,,,,,,
0.056476838886737823,0.056476838886737823,54,7039,,,,,,,,,,,,,,,,,,,,,,,,
0.051726970821619034,0.051726970821619034,55,7167,,,,,,,,,,,,,,,,,,,,,,,,
0.05870923399925232,0.05870923399925232,56,7295,,,,,,,,,,,,,,,,,,,,,,,,
0.09347572922706604,0.09347572922706604,57,7423,,,,,,,,,,,,,,,,,,,,,,,,
0.06193990260362625,0.06193990260362625,58,7551,,,,,,,,,,,,,,,,,,,,,,,,
0.0553751140832901,0.0553751140832901,59,7679,,,,,,,,,,,,,,,,,,,,,,,,
0.2148822695016861,0.2148822695016861,60,7807,,,,,,,,,,,,,,,,,,,,,,,,
0.05319312959909439,0.05319312959909439,61,7935,,,,,,,,,,,,,,,,,,,,,,,,
0.05527175962924957,0.05527175962924957,62,8063,,,,,,,,,,,,,,,,,,,,,,,,
0.06387993693351746,0.06387993693351746,63,8191,,,,,,,,,,,,,,,,,,,,,,,,
0.05206120014190674,0.05206120014190674,64,8319,,,,,,,,,,,,,,,,,,,,,,,,
0.05337321013212204,0.05337321013212204,65,8447,,,,,,,,,,,,,,,,,,,,,,,,
0.0552808940410614,0.0552808940410614,66,8575,,,,,,,,,,,,,,,,,,,,,,,,
0.22958916425704956,0.22958916425704956,67,8703,,,,,,,,,,,,,,,,,,,,,,,,
0.07007749378681183,0.07007749378681183,68,8831,,,,,,,,,,,,,,,,,,,,,,,,
0.12228020280599594,0.12228020280599594,69,8959,,,,,,,,,,,,,,,,,,,,,,,,
0.05962470918893814,0.05962470918893814,70,9087,,,,,,,,,,,,,,,,,,,,,,,,
0.05071445554494858,0.05071445554494858,71,9215,,,,,,,,,,,,,,,,,,,,,,,,
0.12090718001127243,0.12090718001127243,72,9343,,,,,,,,,,,,,,,,,,,,,,,,
0.07009852677583694,0.07009852677583694,73,9471,,,,,,,,,,,,,,,,,,,,,,,,
0.10116640478372574,0.10116640478372574,74,9599,,,,,,,,,,,,,,,,,,,,,,,,
0.05316702276468277,0.05316702276468277,75,9727,,,,,,,,,,,,,,,,,,,,,,,,
0.051103681325912476,0.051103681325912476,76,9855,,,,,,,,,,,,,,,,,,,,,,,,
0.051852405071258545,0.051852405071258545,77,9983,,,,,,,,,,,,,,,,,,,,,,,,
