train_loss,train_elbo_loss,epoch,step,val_CRPS_4.0,val_NRMSE_4.0,val_ND_4.0,val_CRPS_8.0,val_NRMSE_8.0,val_ND_8.0,val_CRPS_16.0,val_NRMSE_16.0,val_ND_16.0,val_CRPS_24.0,val_NRMSE_24.0,val_ND_24.0,val_CRPS_32.0,val_NRMSE_32.0,val_ND_32.0,val_CRPS_48.0,val_NRMSE_48.0,val_ND_48.0,val_CRPS_64.0,val_NRMSE_64.0,val_ND_64.0,val_CRPS_96.0,val_NRMSE_96.0,val_ND_96.0,val_CRPS_128.0,val_NRMSE_128.0,val_ND_128.0
0.4660078287124634,0.4660078287124634,0,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.223971426486969,0.223971426486969,1,255,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18862365186214447,0.18862365186214447,2,383,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.17783091962337494,0.17783091962337494,3,511,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1651393473148346,0.1651393473148346,4,639,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16049131751060486,0.16049131751060486,5,767,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14950977265834808,0.14950977265834808,6,895,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14545570313930511,0.14545570313930511,7,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14165614545345306,0.14165614545345306,8,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.139311283826828,0.139311283826828,9,1279,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13477756083011627,0.13477756083011627,10,1407,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13170309364795685,0.13170309364795685,11,1535,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13406150043010712,0.13406150043010712,12,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1322491317987442,0.1322491317987442,13,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12436211109161377,0.12436211109161377,14,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1257694959640503,0.1257694959640503,15,2047,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12314566224813461,0.12314566224813461,16,2175,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12483000010251999,0.12483000010251999,17,2303,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1253705620765686,0.1253705620765686,18,2431,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12189880758523941,0.12189880758523941,19,2559,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1216224804520607,0.1216224804520607,20,2687,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1193825826048851,0.1193825826048851,21,2815,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11859721690416336,0.11859721690416336,22,2943,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1203826293349266,0.1203826293349266,23,3071,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11683274805545807,0.11683274805545807,24,3199,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11647453159093857,0.11647453159093857,25,3327,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11463271081447601,0.11463271081447601,26,3455,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11312264949083328,0.11312264949083328,27,3583,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1143183633685112,0.1143183633685112,28,3711,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11034537851810455,0.11034537851810455,29,3839,,,,,,,,,,,,,,,,,,,,,,,,,,,
