train_loss,train_elbo_loss,epoch,step,val_CRPS_0.5,val_ND_0.5,val_NRMSE_0.5,val_CRPS_1.0,val_ND_1.0,val_NRMSE_1.0,val_CRPS_2.0,val_ND_2.0,val_NRMSE_2.0,val_CRPS_4.0,val_ND_4.0,val_NRMSE_4.0,val_CRPS_8.0,val_ND_8.0,val_NRMSE_8.0,val_CRPS_16.0,val_ND_16.0,val_NRMSE_16.0,val_CRPS_24.0,val_ND_24.0,val_NRMSE_24.0,val_CRPS_32.0,val_ND_32.0,val_NRMSE_32.0
1.1273523569107056,1.1273523569107056,0,127,,,,,,,,,,,,,,,,,,,,,,,,
0.7555096745491028,0.7555096745491028,1,255,,,,,,,,,,,,,,,,,,,,,,,,
0.11266732215881348,0.11266732215881348,2,383,,,,,,,,,,,,,,,,,,,,,,,,
4.137211799621582,4.137211799621582,3,511,,,,,,,,,,,,,,,,,,,,,,,,
1.2476783990859985,1.2476783990859985,4,639,,,,,,,,,,,,,,,,,,,,,,,,
0.11301611363887787,0.11301611363887787,5,767,,,,,,,,,,,,,,,,,,,,,,,,
1.2526341676712036,1.2526341676712036,6,895,,,,,,,,,,,,,,,,,,,,,,,,
2.668260335922241,2.668260335922241,7,1023,,,,,,,,,,,,,,,,,,,,,,,,
0.10049527138471603,0.10049527138471603,8,1151,,,,,,,,,,,,,,,,,,,,,,,,
0.7371839284896851,0.7371839284896851,9,1279,,,,,,,,,,,,,,,,,,,,,,,,
0.5502975583076477,0.5502975583076477,10,1407,,,,,,,,,,,,,,,,,,,,,,,,
0.4635689854621887,0.4635689854621887,11,1535,,,,,,,,,,,,,,,,,,,,,,,,
0.9135721921920776,0.9135721921920776,12,1663,,,,,,,,,,,,,,,,,,,,,,,,
1.7485840320587158,1.7485840320587158,13,1791,,,,,,,,,,,,,,,,,,,,,,,,
0.0957033634185791,0.0957033634185791,14,1919,,,,,,,,,,,,,,,,,,,,,,,,
0.497604101896286,0.497604101896286,15,2047,,,,,,,,,,,,,,,,,,,,,,,,
1.0376745462417603,1.0376745462417603,16,2175,,,,,,,,,,,,,,,,,,,,,,,,
2.421553134918213,2.421553134918213,17,2303,,,,,,,,,,,,,,,,,,,,,,,,
0.1396133154630661,0.1396133154630661,18,2431,,,,,,,,,,,,,,,,,,,,,,,,
0.2564506530761719,0.2564506530761719,19,2559,,,,,,,,,,,,,,,,,,,,,,,,
0.597055196762085,0.597055196762085,20,2687,,,,,,,,,,,,,,,,,,,,,,,,
0.7688003778457642,0.7688003778457642,21,2815,,,,,,,,,,,,,,,,,,,,,,,,
1.7901681661605835,1.7901681661605835,22,2943,,,,,,,,,,,,,,,,,,,,,,,,
0.10171712189912796,0.10171712189912796,23,3071,,,,,,,,,,,,,,,,,,,,,,,,
0.8735322952270508,0.8735322952270508,24,3199,,,,,,,,,,,,,,,,,,,,,,,,
1.867892861366272,1.867892861366272,25,3327,,,,,,,,,,,,,,,,,,,,,,,,
0.30942827463150024,0.30942827463150024,26,3455,,,,,,,,,,,,,,,,,,,,,,,,
0.755192756652832,0.755192756652832,27,3583,,,,,,,,,,,,,,,,,,,,,,,,
0.15472567081451416,0.15472567081451416,28,3711,,,,,,,,,,,,,,,,,,,,,,,,
0.2188357561826706,0.2188357561826706,29,3839,,,,,,,,,,,,,,,,,,,,,,,,
0.2335810363292694,0.2335810363292694,30,3967,,,,,,,,,,,,,,,,,,,,,,,,
0.8365175127983093,0.8365175127983093,31,4095,,,,,,,,,,,,,,,,,,,,,,,,
0.27970871329307556,0.27970871329307556,32,4223,,,,,,,,,,,,,,,,,,,,,,,,
0.12779682874679565,0.12779682874679565,33,4351,,,,,,,,,,,,,,,,,,,,,,,,
0.6684785485267639,0.6684785485267639,34,4479,,,,,,,,,,,,,,,,,,,,,,,,
0.19500571489334106,0.19500571489334106,35,4607,,,,,,,,,,,,,,,,,,,,,,,,
0.09873655438423157,0.09873655438423157,36,4735,,,,,,,,,,,,,,,,,,,,,,,,
0.13540443778038025,0.13540443778038025,37,4863,,,,,,,,,,,,,,,,,,,,,,,,
1.7044832706451416,1.7044832706451416,38,4991,,,,,,,,,,,,,,,,,,,,,,,,
1.3465139865875244,1.3465139865875244,39,5119,,,,,,,,,,,,,,,,,,,,,,,,
