train_loss,train_elbo_loss,epoch,step
1.1167596578598022,1.1167596578598022,0,127
0.7355436086654663,0.7355436086654663,1,255
0.6066576838493347,0.6066576838493347,2,383
0.5516576170921326,0.5516576170921326,3,511
0.5236135721206665,0.5236135721206665,4,639
0.48861953616142273,0.48861953616142273,5,767
0.4590131342411041,0.4590131342411041,6,895
0.45452454686164856,0.45452454686164856,7,1023
0.44476234912872314,0.44476234912872314,8,1151
0.42168128490448,0.42168128490448,9,1279
0.42065343260765076,0.42065343260765076,10,1407
0.41257762908935547,0.41257762908935547,11,1535
0.4027595818042755,0.4027595818042755,12,1663
0.40070822834968567,0.40070822834968567,13,1791
0.3853912651538849,0.3853912651538849,14,1919
0.38824906945228577,0.38824906945228577,15,2047
0.3899325728416443,0.3899325728416443,16,2175
0.3764527440071106,0.3764527440071106,17,2303
0.3774664103984833,0.3774664103984833,18,2431
0.3692181706428528,0.3692181706428528,19,2559
0.36668500304222107,0.36668500304222107,20,2687
0.3670847415924072,0.3670847415924072,21,2815
0.36497262120246887,0.36497262120246887,22,2943
0.37111523747444153,0.37111523747444153,23,3071
0.36654502153396606,0.36654502153396606,24,3199
0.35495996475219727,0.35495996475219727,25,3327
0.35283759236335754,0.35283759236335754,26,3455
0.35144761204719543,0.35144761204719543,27,3583
0.3531535267829895,0.3531535267829895,28,3711
0.34847015142440796,0.34847015142440796,29,3839
0.3481409251689911,0.3481409251689911,30,3967
0.3412035405635834,0.3412035405635834,31,4095
0.34387725591659546,0.34387725591659546,32,4223
0.3409879505634308,0.3409879505634308,33,4351
0.3402709662914276,0.3402709662914276,34,4479
0.34124135971069336,0.34124135971069336,35,4607
0.33522093296051025,0.33522093296051025,36,4735
0.3362637162208557,0.3362637162208557,37,4863
0.3326604664325714,0.3326604664325714,38,4991
0.3289802670478821,0.3289802670478821,39,5119
0.3281007707118988,0.3281007707118988,40,5247
0.33067786693573,0.33067786693573,41,5375
0.3231182396411896,0.3231182396411896,42,5503
0.3294348120689392,0.3294348120689392,43,5631
0.3300536572933197,0.3300536572933197,44,5759
0.32509806752204895,0.32509806752204895,45,5887
0.3268609642982483,0.3268609642982483,46,6015
0.3234592378139496,0.3234592378139496,47,6143
0.3250844180583954,0.3250844180583954,48,6271
0.32138359546661377,0.32138359546661377,49,6399
0.3224421441555023,0.3224421441555023,50,6527
0.31990084052085876,0.31990084052085876,51,6655
0.3161267340183258,0.3161267340183258,52,6783
0.315662682056427,0.315662682056427,53,6911
0.3197772204875946,0.3197772204875946,54,7039
0.3195766806602478,0.3195766806602478,55,7167
0.31821298599243164,0.31821298599243164,56,7295
0.31392037868499756,0.31392037868499756,57,7423
0.31343981623649597,0.31343981623649597,58,7551
0.3161700665950775,0.3161700665950775,59,7679
0.30929479002952576,0.30929479002952576,60,7807
0.3132818341255188,0.3132818341255188,61,7935
0.3130872845649719,0.3130872845649719,62,8063
0.313366174697876,0.313366174697876,63,8191
0.3071575462818146,0.3071575462818146,64,8319
0.31027916073799133,0.31027916073799133,65,8447
0.3114587664604187,0.3114587664604187,66,8575
0.30941399931907654,0.30941399931907654,67,8703
0.3095685541629791,0.3095685541629791,68,8831
0.3040525019168854,0.3040525019168854,69,8959
0.306768536567688,0.306768536567688,70,9087
0.30480894446372986,0.30480894446372986,71,9215
0.30197763442993164,0.30197763442993164,72,9343
0.3153400123119354,0.3153400123119354,73,9471
0.3008998930454254,0.3008998930454254,74,9599
0.3046438694000244,0.3046438694000244,75,9727
0.3026515245437622,0.3026515245437622,76,9855
0.30071720480918884,0.30071720480918884,77,9983
0.3022257685661316,0.3022257685661316,78,10111
0.29812055826187134,0.29812055826187134,79,10239
0.30093297362327576,0.30093297362327576,80,10367
0.3001047372817993,0.3001047372817993,81,10495
0.29500263929367065,0.29500263929367065,82,10623
0.3029622733592987,0.3029622733592987,83,10751
0.29746097326278687,0.29746097326278687,84,10879
0.29729118943214417,0.29729118943214417,85,11007
0.2972687780857086,0.2972687780857086,86,11135
0.29789915680885315,0.29789915680885315,87,11263
0.29868513345718384,0.29868513345718384,88,11391
0.2917483150959015,0.2917483150959015,89,11519
0.294132262468338,0.294132262468338,90,11647
0.29483434557914734,0.29483434557914734,91,11775
0.2939051389694214,0.2939051389694214,92,11903
0.29328304529190063,0.29328304529190063,93,12031
0.2942240536212921,0.2942240536212921,94,12159
0.2952587306499481,0.2952587306499481,95,12287
0.29278284311294556,0.29278284311294556,96,12415
0.288228839635849,0.288228839635849,97,12543
0.2904402017593384,0.2904402017593384,98,12671
0.29325708746910095,0.29325708746910095,99,12799
0.2881471812725067,0.2881471812725067,100,12927
0.28847986459732056,0.28847986459732056,101,13055
0.28764456510543823,0.28764456510543823,102,13183
0.28564244508743286,0.28564244508743286,103,13311
0.2894647419452667,0.2894647419452667,104,13439
0.2908201813697815,0.2908201813697815,105,13567
0.2868300974369049,0.2868300974369049,106,13695
