train_loss,train_elbo_loss,epoch,step,val_ND_8.0,val_CRPS_8.0,val_NRMSE_8.0,val_ND_16.0,val_CRPS_16.0,val_NRMSE_16.0,val_ND_24.0,val_CRPS_24.0,val_NRMSE_24.0,val_ND_32.0,val_CRPS_32.0,val_NRMSE_32.0,val_ND_48.0,val_CRPS_48.0,val_NRMSE_48.0,val_ND_64.0,val_CRPS_64.0,val_NRMSE_64.0
0.42051026225090027,0.42051026225090027,0,127,,,,,,,,,,,,,,,,,,
0.2082650363445282,0.2082650363445282,1,255,,,,,,,,,,,,,,,,,,
0.1695365458726883,0.1695365458726883,2,383,,,,,,,,,,,,,,,,,,
0.14671187102794647,0.14671187102794647,3,511,,,,,,,,,,,,,,,,,,
0.12941832840442657,0.12941832840442657,4,639,,,,,,,,,,,,,,,,,,
0.11996779590845108,0.11996779590845108,5,767,,,,,,,,,,,,,,,,,,
0.10735665261745453,0.10735665261745453,6,895,,,,,,,,,,,,,,,,,,
0.10372195392847061,0.10372195392847061,7,1023,,,,,,,,,,,,,,,,,,
0.1013406291604042,0.1013406291604042,8,1151,,,,,,,,,,,,,,,,,,
0.09968401491641998,0.09968401491641998,9,1279,,,,,,,,,,,,,,,,,,
0.09620055556297302,0.09620055556297302,10,1407,,,,,,,,,,,,,,,,,,
0.09393071383237839,0.09393071383237839,11,1535,,,,,,,,,,,,,,,,,,
0.09324557334184647,0.09324557334184647,12,1663,,,,,,,,,,,,,,,,,,
0.09054046124219894,0.09054046124219894,13,1791,,,,,,,,,,,,,,,,,,
0.08494390547275543,0.08494390547275543,14,1919,,,,,,,,,,,,,,,,,,
0.08623719215393066,0.08623719215393066,15,2047,,,,,,,,,,,,,,,,,,
0.08617761731147766,0.08617761731147766,16,2175,,,,,,,,,,,,,,,,,,
0.08664502203464508,0.08664502203464508,17,2303,,,,,,,,,,,,,,,,,,
0.08782029151916504,0.08782029151916504,18,2431,,,,,,,,,,,,,,,,,,
0.08310814201831818,0.08310814201831818,19,2559,,,,,,,,,,,,,,,,,,
0.08476298302412033,0.08476298302412033,20,2687,,,,,,,,,,,,,,,,,,
0.08168977499008179,0.08168977499008179,21,2815,,,,,,,,,,,,,,,,,,
0.08384641259908676,0.08384641259908676,22,2943,,,,,,,,,,,,,,,,,,
0.08391527831554413,0.08391527831554413,23,3071,,,,,,,,,,,,,,,,,,
0.0827188491821289,0.0827188491821289,24,3199,,,,,,,,,,,,,,,,,,
0.07928122580051422,0.07928122580051422,25,3327,,,,,,,,,,,,,,,,,,
