train_loss,train_elbo_loss,epoch,step
0.17715959250926971,0.17715959250926971,0,127
0.08830639719963074,0.08830639719963074,1,255
0.0705779641866684,0.0705779641866684,2,383
0.0698593407869339,0.0698593407869339,3,511
0.06669431924819946,0.06669431924819946,4,639
0.06842906028032303,0.06842906028032303,5,767
0.06149698793888092,0.06149698793888092,6,895
0.05820136144757271,0.05820136144757271,7,1023
0.0573759451508522,0.0573759451508522,8,1151
0.05819683149456978,0.05819683149456978,9,1279
0.05918169021606445,0.05918169021606445,10,1407
0.05735596641898155,0.05735596641898155,11,1535
0.056825511157512665,0.056825511157512665,12,1663
0.05702081695199013,0.05702081695199013,13,1791
0.05395377799868584,0.05395377799868584,14,1919
0.05415955185890198,0.05415955185890198,15,2047
0.05339176952838898,0.05339176952838898,16,2175
0.0552719421684742,0.0552719421684742,17,2303
0.05542371794581413,0.05542371794581413,18,2431
0.0555935800075531,0.0555935800075531,19,2559
0.0557078942656517,0.0557078942656517,20,2687
0.052903641015291214,0.052903641015291214,21,2815
0.056735336780548096,0.056735336780548096,22,2943
0.05689353495836258,0.05689353495836258,23,3071
0.05210765823721886,0.05210765823721886,24,3199
0.05293640121817589,0.05293640121817589,25,3327
0.052221257239580154,0.052221257239580154,26,3455
0.04942747950553894,0.04942747950553894,27,3583
0.0510241724550724,0.0510241724550724,28,3711
0.047128573060035706,0.047128573060035706,29,3839
0.05041658133268356,0.05041658133268356,30,3967
0.04827754944562912,0.04827754944562912,31,4095
0.05077790096402168,0.05077790096402168,32,4223
0.04846725985407829,0.04846725985407829,33,4351
0.04945877566933632,0.04945877566933632,34,4479
0.04990636929869652,0.04990636929869652,35,4607
0.04725497588515282,0.04725497588515282,36,4735
0.048726048320531845,0.048726048320531845,37,4863
0.04721793159842491,0.04721793159842491,38,4991
0.046351950615644455,0.046351950615644455,39,5119
0.046779826283454895,0.046779826283454895,40,5247
0.05010190233588219,0.05010190233588219,41,5375
0.04519915208220482,0.04519915208220482,42,5503
0.048402365297079086,0.048402365297079086,43,5631
