train_loss,train_elbo_loss,epoch,step,val_ND_2.0,val_CRPS_2.0,val_NRMSE_2.0,val_ND_4.0,val_CRPS_4.0,val_NRMSE_4.0,val_ND_8.0,val_CRPS_8.0,val_NRMSE_8.0,val_ND_16.0,val_CRPS_16.0,val_NRMSE_16.0,val_ND_24.0,val_CRPS_24.0,val_NRMSE_24.0,val_ND_32.0,val_CRPS_32.0,val_NRMSE_32.0,val_ND_48.0,val_CRPS_48.0,val_NRMSE_48.0,val_ND_64.0,val_CRPS_64.0,val_NRMSE_64.0
0.5530717372894287,0.5530717372894287,0,127,,,,,,,,,,,,,,,,,,,,,,,,
0.3212445378303528,0.3212445378303528,1,255,,,,,,,,,,,,,,,,,,,,,,,,
0.27342212200164795,0.27342212200164795,2,383,,,,,,,,,,,,,,,,,,,,,,,,
0.2504284679889679,0.2504284679889679,3,511,,,,,,,,,,,,,,,,,,,,,,,,
0.23709768056869507,0.23709768056869507,4,639,,,,,,,,,,,,,,,,,,,,,,,,
0.2251642942428589,0.2251642942428589,5,767,,,,,,,,,,,,,,,,,,,,,,,,
0.2150726020336151,0.2150726020336151,6,895,,,,,,,,,,,,,,,,,,,,,,,,
0.2078232616186142,0.2078232616186142,7,1023,,,,,,,,,,,,,,,,,,,,,,,,
0.20423638820648193,0.20423638820648193,8,1151,,,,,,,,,,,,,,,,,,,,,,,,
0.20031008124351501,0.20031008124351501,9,1279,,,,,,,,,,,,,,,,,,,,,,,,
0.19686436653137207,0.19686436653137207,10,1407,,,,,,,,,,,,,,,,,,,,,,,,
0.190840944647789,0.190840944647789,11,1535,,,,,,,,,,,,,,,,,,,,,,,,
0.19115667045116425,0.19115667045116425,12,1663,,,,,,,,,,,,,,,,,,,,,,,,
0.1872660517692566,0.1872660517692566,13,1791,,,,,,,,,,,,,,,,,,,,,,,,
0.1821182519197464,0.1821182519197464,14,1919,,,,,,,,,,,,,,,,,,,,,,,,
0.181720569729805,0.181720569729805,15,2047,,,,,,,,,,,,,,,,,,,,,,,,
0.17866870760917664,0.17866870760917664,16,2175,,,,,,,,,,,,,,,,,,,,,,,,
0.177059605717659,0.177059605717659,17,2303,,,,,,,,,,,,,,,,,,,,,,,,
0.17717841267585754,0.17717841267585754,18,2431,,,,,,,,,,,,,,,,,,,,,,,,
0.17420630156993866,0.17420630156993866,19,2559,,,,,,,,,,,,,,,,,,,,,,,,
0.17319165170192719,0.17319165170192719,20,2687,,,,,,,,,,,,,,,,,,,,,,,,
0.17089541256427765,0.17089541256427765,21,2815,,,,,,,,,,,,,,,,,,,,,,,,
0.17029106616973877,0.17029106616973877,22,2943,,,,,,,,,,,,,,,,,,,,,,,,
0.17122182250022888,0.17122182250022888,23,3071,,,,,,,,,,,,,,,,,,,,,,,,
0.16842754185199738,0.16842754185199738,24,3199,,,,,,,,,,,,,,,,,,,,,,,,
0.1652674823999405,0.1652674823999405,25,3327,,,,,,,,,,,,,,,,,,,,,,,,
0.1643657386302948,0.1643657386302948,26,3455,,,,,,,,,,,,,,,,,,,,,,,,
0.1633739322423935,0.1633739322423935,27,3583,,,,,,,,,,,,,,,,,,,,,,,,
0.16304364800453186,0.16304364800453186,28,3711,,,,,,,,,,,,,,,,,,,,,,,,
0.15923169255256653,0.15923169255256653,29,3839,,,,,,,,,,,,,,,,,,,,,,,,
0.1589278280735016,0.1589278280735016,30,3967,,,,,,,,,,,,,,,,,,,,,,,,
0.15754278004169464,0.15754278004169464,31,4095,,,,,,,,,,,,,,,,,,,,,,,,
0.15938882529735565,0.15938882529735565,32,4223,,,,,,,,,,,,,,,,,,,,,,,,
0.1571001559495926,0.1571001559495926,33,4351,,,,,,,,,,,,,,,,,,,,,,,,
0.15584605932235718,0.15584605932235718,34,4479,,,,,,,,,,,,,,,,,,,,,,,,
0.15802328288555145,0.15802328288555145,35,4607,,,,,,,,,,,,,,,,,,,,,,,,
0.15529456734657288,0.15529456734657288,36,4735,,,,,,,,,,,,,,,,,,,,,,,,
0.1535947471857071,0.1535947471857071,37,4863,,,,,,,,,,,,,,,,,,,,,,,,
0.15191036462783813,0.15191036462783813,38,4991,,,,,,,,,,,,,,,,,,,,,,,,
0.15106402337551117,0.15106402337551117,39,5119,,,,,,,,,,,,,,,,,,,,,,,,
0.1512274444103241,0.1512274444103241,40,5247,,,,,,,,,,,,,,,,,,,,,,,,
0.15241648256778717,0.15241648256778717,41,5375,,,,,,,,,,,,,,,,,,,,,,,,
0.14777441322803497,0.14777441322803497,42,5503,,,,,,,,,,,,,,,,,,,,,,,,
0.15065422654151917,0.15065422654151917,43,5631,,,,,,,,,,,,,,,,,,,,,,,,
0.1517351120710373,0.1517351120710373,44,5759,,,,,,,,,,,,,,,,,,,,,,,,
0.14805282652378082,0.14805282652378082,45,5887,,,,,,,,,,,,,,,,,,,,,,,,
0.14970067143440247,0.14970067143440247,46,6015,,,,,,,,,,,,,,,,,,,,,,,,
0.14799949526786804,0.14799949526786804,47,6143,,,,,,,,,,,,,,,,,,,,,,,,
