train_loss,train_elbo_loss,epoch,step,val_CRPS_2.0,val_ND_2.0,val_NRMSE_2.0,val_CRPS_4.0,val_ND_4.0,val_NRMSE_4.0,val_CRPS_8.0,val_ND_8.0,val_NRMSE_8.0,val_CRPS_16.0,val_ND_16.0,val_NRMSE_16.0,val_CRPS_24.0,val_ND_24.0,val_NRMSE_24.0,val_CRPS_32.0,val_ND_32.0,val_NRMSE_32.0,val_CRPS_48.0,val_ND_48.0,val_NRMSE_48.0
0.42837733030319214,0.42837733030319214,0,127,,,,,,,,,,,,,,,,,,,,,
0.3232381343841553,0.3232381343841553,1,255,,,,,,,,,,,,,,,,,,,,,
0.2770455479621887,0.2770455479621887,2,383,,,,,,,,,,,,,,,,,,,,,
0.23977825045585632,0.23977825045585632,3,511,,,,,,,,,,,,,,,,,,,,,
0.22873111069202423,0.22873111069202423,4,639,,,,,,,,,,,,,,,,,,,,,
0.21309587359428406,0.21309587359428406,5,767,,,,,,,,,,,,,,,,,,,,,
0.19835299253463745,0.19835299253463745,6,895,,,,,,,,,,,,,,,,,,,,,
0.1889100819826126,0.1889100819826126,7,1023,,,,,,,,,,,,,,,,,,,,,
0.19054372608661652,0.19054372608661652,8,1151,,,,,,,,,,,,,,,,,,,,,
0.18743263185024261,0.18743263185024261,9,1279,,,,,,,,,,,,,,,,,,,,,
0.1800200492143631,0.1800200492143631,10,1407,,,,,,,,,,,,,,,,,,,,,
0.17574797570705414,0.17574797570705414,11,1535,,,,,,,,,,,,,,,,,,,,,
0.17677702009677887,0.17677702009677887,12,1663,,,,,,,,,,,,,,,,,,,,,
0.1738712191581726,0.1738712191581726,13,1791,,,,,,,,,,,,,,,,,,,,,
0.1660986840724945,0.1660986840724945,14,1919,,,,,,,,,,,,,,,,,,,,,
0.16733092069625854,0.16733092069625854,15,2047,,,,,,,,,,,,,,,,,,,,,
0.165664941072464,0.165664941072464,16,2175,,,,,,,,,,,,,,,,,,,,,
0.16551463305950165,0.16551463305950165,17,2303,,,,,,,,,,,,,,,,,,,,,
0.1671219915151596,0.1671219915151596,18,2431,,,,,,,,,,,,,,,,,,,,,
0.16211555898189545,0.16211555898189545,19,2559,,,,,,,,,,,,,,,,,,,,,
0.16336680948734283,0.16336680948734283,20,2687,,,,,,,,,,,,,,,,,,,,,
0.15993449091911316,0.15993449091911316,21,2815,,,,,,,,,,,,,,,,,,,,,
0.15990522503852844,0.15990522503852844,22,2943,,,,,,,,,,,,,,,,,,,,,
0.1611204296350479,0.1611204296350479,23,3071,,,,,,,,,,,,,,,,,,,,,
0.1582377701997757,0.1582377701997757,24,3199,,,,,,,,,,,,,,,,,,,,,
0.15524645149707794,0.15524645149707794,25,3327,,,,,,,,,,,,,,,,,,,,,
0.1566125750541687,0.1566125750541687,26,3455,,,,,,,,,,,,,,,,,,,,,
0.15281370282173157,0.15281370282173157,27,3583,,,,,,,,,,,,,,,,,,,,,
0.15229788422584534,0.15229788422584534,28,3711,,,,,,,,,,,,,,,,,,,,,
0.148389533162117,0.148389533162117,29,3839,,,,,,,,,,,,,,,,,,,,,
0.15022462606430054,0.15022462606430054,30,3967,,,,,,,,,,,,,,,,,,,,,
0.1468244194984436,0.1468244194984436,31,4095,,,,,,,,,,,,,,,,,,,,,
0.14911825954914093,0.14911825954914093,32,4223,,,,,,,,,,,,,,,,,,,,,
