train_loss,train_elbo_loss,epoch,step,val_ND_0.5,val_CRPS_0.5,val_NRMSE_0.5,val_ND_1.0,val_CRPS_1.0,val_NRMSE_1.0,val_ND_2.0,val_CRPS_2.0,val_NRMSE_2.0,val_ND_4.0,val_CRPS_4.0,val_NRMSE_4.0,val_ND_8.0,val_CRPS_8.0,val_NRMSE_8.0,val_ND_16.0,val_CRPS_16.0,val_NRMSE_16.0,val_ND_24.0,val_CRPS_24.0,val_NRMSE_24.0
0.369995653629303,0.369995653629303,0,127,,,,,,,,,,,,,,,,,,,,,
0.28224414587020874,0.28224414587020874,1,255,,,,,,,,,,,,,,,,,,,,,
0.2650879919528961,0.2650879919528961,2,383,,,,,,,,,,,,,,,,,,,,,
0.26131126284599304,0.26131126284599304,3,511,,,,,,,,,,,,,,,,,,,,,
0.25879186391830444,0.25879186391830444,4,639,,,,,,,,,,,,,,,,,,,,,
0.2571614384651184,0.2571614384651184,5,767,,,,,,,,,,,,,,,,,,,,,
0.2509862780570984,0.2509862780570984,6,895,,,,,,,,,,,,,,,,,,,,,
0.24803070724010468,0.24803070724010468,7,1023,,,,,,,,,,,,,,,,,,,,,
0.24980367720127106,0.24980367720127106,8,1151,,,,,,,,,,,,,,,,,,,,,
0.24965079128742218,0.24965079128742218,9,1279,,,,,,,,,,,,,,,,,,,,,
0.24750255048274994,0.24750255048274994,10,1407,,,,,,,,,,,,,,,,,,,,,
0.24447223544120789,0.24447223544120789,11,1535,,,,,,,,,,,,,,,,,,,,,
0.2458389848470688,0.2458389848470688,12,1663,,,,,,,,,,,,,,,,,,,,,
0.24733613431453705,0.24733613431453705,13,1791,,,,,,,,,,,,,,,,,,,,,
0.24095435440540314,0.24095435440540314,14,1919,,,,,,,,,,,,,,,,,,,,,
0.24392002820968628,0.24392002820968628,15,2047,,,,,,,,,,,,,,,,,,,,,
0.24268022179603577,0.24268022179603577,16,2175,,,,,,,,,,,,,,,,,,,,,
0.24369345605373383,0.24369345605373383,17,2303,,,,,,,,,,,,,,,,,,,,,
0.24613091349601746,0.24613091349601746,18,2431,,,,,,,,,,,,,,,,,,,,,
0.24195194244384766,0.24195194244384766,19,2559,,,,,,,,,,,,,,,,,,,,,
0.24363799393177032,0.24363799393177032,20,2687,,,,,,,,,,,,,,,,,,,,,
0.24321992695331573,0.24321992695331573,21,2815,,,,,,,,,,,,,,,,,,,,,
0.24637223780155182,0.24637223780155182,22,2943,,,,,,,,,,,,,,,,,,,,,
0.24645453691482544,0.24645453691482544,23,3071,,,,,,,,,,,,,,,,,,,,,
0.24386848509311676,0.24386848509311676,24,3199,,,,,,,,,,,,,,,,,,,,,
0.24202735722064972,0.24202735722064972,25,3327,,,,,,,,,,,,,,,,,,,,,
0.24198459088802338,0.24198459088802338,26,3455,,,,,,,,,,,,,,,,,,,,,
0.24031659960746765,0.24031659960746765,27,3583,,,,,,,,,,,,,,,,,,,,,
0.2415250688791275,0.2415250688791275,28,3711,,,,,,,,,,,,,,,,,,,,,
