train_loss,train_elbo_loss,epoch,step,val_CRPS_1.0,val_NRMSE_1.0,val_ND_1.0,val_CRPS_2.0,val_NRMSE_2.0,val_ND_2.0,val_CRPS_4.0,val_NRMSE_4.0,val_ND_4.0,val_CRPS_8.0,val_NRMSE_8.0,val_ND_8.0,val_CRPS_16.0,val_NRMSE_16.0,val_ND_16.0
0.7359958291053772,0.7359958291053772,0,127,,,,,,,,,,,,,,,
0.5689361691474915,0.5689361691474915,1,255,,,,,,,,,,,,,,,
0.5001814365386963,0.5001814365386963,2,383,,,,,,,,,,,,,,,
0.46278616786003113,0.46278616786003113,3,511,,,,,,,,,,,,,,,
0.44130489230155945,0.44130489230155945,4,639,,,,,,,,,,,,,,,
0.4246596693992615,0.4246596693992615,5,767,,,,,,,,,,,,,,,
0.40809375047683716,0.40809375047683716,6,895,,,,,,,,,,,,,,,
0.3976547122001648,0.3976547122001648,7,1023,,,,,,,,,,,,,,,
0.39361608028411865,0.39361608028411865,8,1151,,,,,,,,,,,,,,,
0.3863135874271393,0.3863135874271393,9,1279,,,,,,,,,,,,,,,
0.38126957416534424,0.38126957416534424,10,1407,,,,,,,,,,,,,,,
0.37404850125312805,0.37404850125312805,11,1535,,,,,,,,,,,,,,,
0.3713357746601105,0.3713357746601105,12,1663,,,,,,,,,,,,,,,
0.3673127293586731,0.3673127293586731,13,1791,,,,,,,,,,,,,,,
0.35921037197113037,0.35921037197113037,14,1919,,,,,,,,,,,,,,,
0.3579912781715393,0.3579912781715393,15,2047,,,,,,,,,,,,,,,
0.35353294014930725,0.35353294014930725,16,2175,,,,,,,,,,,,,,,
0.350750595331192,0.350750595331192,17,2303,,,,,,,,,,,,,,,
0.3515361249446869,0.3515361249446869,18,2431,,,,,,,,,,,,,,,
0.34643715620040894,0.34643715620040894,19,2559,,,,,,,,,,,,,,,
0.34395015239715576,0.34395015239715576,20,2687,,,,,,,,,,,,,,,
0.34243032336235046,0.34243032336235046,21,2815,,,,,,,,,,,,,,,
0.33939769864082336,0.33939769864082336,22,2943,,,,,,,,,,,,,,,
0.33987122774124146,0.33987122774124146,23,3071,,,,,,,,,,,,,,,
0.3344568610191345,0.3344568610191345,24,3199,,,,,,,,,,,,,,,
0.3323817253112793,0.3323817253112793,25,3327,,,,,,,,,,,,,,,
0.33277761936187744,0.33277761936187744,26,3455,,,,,,,,,,,,,,,
0.32524994015693665,0.32524994015693665,27,3583,,,,,,,,,,,,,,,
0.32601648569107056,0.32601648569107056,28,3711,,,,,,,,,,,,,,,
0.3222282826900482,0.3222282826900482,29,3839,,,,,,,,,,,,,,,
0.3213749825954437,0.3213749825954437,30,3967,,,,,,,,,,,,,,,
0.31856706738471985,0.31856706738471985,31,4095,,,,,,,,,,,,,,,
0.3183407783508301,0.3183407783508301,32,4223,,,,,,,,,,,,,,,
0.3158584237098694,0.3158584237098694,33,4351,,,,,,,,,,,,,,,
0.31402045488357544,0.31402045488357544,34,4479,,,,,,,,,,,,,,,
0.31730785965919495,0.31730785965919495,35,4607,,,,,,,,,,,,,,,
0.31215721368789673,0.31215721368789673,36,4735,,,,,,,,,,,,,,,
0.3105388879776001,0.3105388879776001,37,4863,,,,,,,,,,,,,,,
0.30717188119888306,0.30717188119888306,38,4991,,,,,,,,,,,,,,,
0.30708593130111694,0.30708593130111694,39,5119,,,,,,,,,,,,,,,
0.30479615926742554,0.30479615926742554,40,5247,,,,,,,,,,,,,,,
0.30876123905181885,0.30876123905181885,41,5375,,,,,,,,,,,,,,,
0.3019348680973053,0.3019348680973053,42,5503,,,,,,,,,,,,,,,
0.30358707904815674,0.30358707904815674,43,5631,,,,,,,,,,,,,,,
0.3052559196949005,0.3052559196949005,44,5759,,,,,,,,,,,,,,,
0.29923221468925476,0.29923221468925476,45,5887,,,,,,,,,,,,,,,
0.30185893177986145,0.30185893177986145,46,6015,,,,,,,,,,,,,,,
0.2992841899394989,0.2992841899394989,47,6143,,,,,,,,,,,,,,,
0.30035796761512756,0.30035796761512756,48,6271,,,,,,,,,,,,,,,
0.29552966356277466,0.29552966356277466,49,6399,0.3013349947429256,0.8386520197686592,0.3588993477819072,0.2856839612765606,0.7538549934566946,0.39340542595963707,0.2770775065673472,0.7763770706332621,0.38254666918885694,0.26838235272316724,0.7830132145959431,0.36368534521252643,0.25775837630459114,0.7632564553228953,0.34705263794076474
0.2984829843044281,0.2984829843044281,50,6527,,,,,,,,,,,,,,,
0.2957392930984497,0.2957392930984497,51,6655,,,,,,,,,,,,,,,
0.2921028435230255,0.2921028435230255,52,6783,,,,,,,,,,,,,,,
0.29249799251556396,0.29249799251556396,53,6911,,,,,,,,,,,,,,,
0.2916467785835266,0.2916467785835266,54,7039,,,,,,,,,,,,,,,
0.28951236605644226,0.28951236605644226,55,7167,,,,,,,,,,,,,,,
0.29111066460609436,0.29111066460609436,56,7295,,,,,,,,,,,,,,,
0.2904035449028015,0.2904035449028015,57,7423,,,,,,,,,,,,,,,
0.29069486260414124,0.29069486260414124,58,7551,,,,,,,,,,,,,,,
0.28761571645736694,0.28761571645736694,59,7679,,,,,,,,,,,,,,,
0.28732627630233765,0.28732627630233765,60,7807,,,,,,,,,,,,,,,
0.28645631670951843,0.28645631670951843,61,7935,,,,,,,,,,,,,,,
0.28335118293762207,0.28335118293762207,62,8063,,,,,,,,,,,,,,,
0.28410038352012634,0.28410038352012634,63,8191,,,,,,,,,,,,,,,
0.2857915759086609,0.2857915759086609,64,8319,,,,,,,,,,,,,,,
0.2825082838535309,0.2825082838535309,65,8447,,,,,,,,,,,,,,,
0.27935659885406494,0.27935659885406494,66,8575,,,,,,,,,,,,,,,
0.28073108196258545,0.28073108196258545,67,8703,,,,,,,,,,,,,,,
0.28276070952415466,0.28276070952415466,68,8831,,,,,,,,,,,,,,,
0.278646856546402,0.278646856546402,69,8959,,,,,,,,,,,,,,,
0.28076136112213135,0.28076136112213135,70,9087,,,,,,,,,,,,,,,
0.28055432438850403,0.28055432438850403,71,9215,,,,,,,,,,,,,,,
0.28068721294403076,0.28068721294403076,72,9343,,,,,,,,,,,,,,,
0.27835679054260254,0.27835679054260254,73,9471,,,,,,,,,,,,,,,
0.27919238805770874,0.27919238805770874,74,9599,,,,,,,,,,,,,,,
0.27771273255348206,0.27771273255348206,75,9727,,,,,,,,,,,,,,,
0.2741631269454956,0.2741631269454956,76,9855,,,,,,,,,,,,,,,
0.2754390239715576,0.2754390239715576,77,9983,,,,,,,,,,,,,,,
0.2750711143016815,0.2750711143016815,78,10111,,,,,,,,,,,,,,,
0.2778666913509369,0.2778666913509369,79,10239,,,,,,,,,,,,,,,
0.2738397717475891,0.2738397717475891,80,10367,,,,,,,,,,,,,,,
0.2713291049003601,0.2713291049003601,81,10495,,,,,,,,,,,,,,,
0.27175426483154297,0.27175426483154297,82,10623,,,,,,,,,,,,,,,
0.2760326862335205,0.2760326862335205,83,10751,,,,,,,,,,,,,,,
0.27452754974365234,0.27452754974365234,84,10879,,,,,,,,,,,,,,,
