train_loss,train_elbo_loss,epoch,step,val_CRPS_2.0,val_ND_2.0,val_NRMSE_2.0,val_CRPS_4.0,val_ND_4.0,val_NRMSE_4.0,val_CRPS_8.0,val_ND_8.0,val_NRMSE_8.0,val_CRPS_16.0,val_ND_16.0,val_NRMSE_16.0,val_CRPS_24.0,val_ND_24.0,val_NRMSE_24.0,val_CRPS_32.0,val_ND_32.0,val_NRMSE_32.0,val_CRPS_48.0,val_ND_48.0,val_NRMSE_48.0
0.28456202149391174,0.28456202149391174,0,127,,,,,,,,,,,,,,,,,,,,,
0.14163918793201447,0.14163918793201447,1,255,,,,,,,,,,,,,,,,,,,,,
0.09144378453493118,0.09144378453493118,2,383,,,,,,,,,,,,,,,,,,,,,
0.06372437626123428,0.06372437626123428,3,511,,,,,,,,,,,,,,,,,,,,,
0.042539868503808975,0.042539868503808975,4,639,,,,,,,,,,,,,,,,,,,,,
0.03425244987010956,0.03425244987010956,5,767,,,,,,,,,,,,,,,,,,,,,
0.02683389186859131,0.02683389186859131,6,895,,,,,,,,,,,,,,,,,,,,,
0.021596768870949745,0.021596768870949745,7,1023,,,,,,,,,,,,,,,,,,,,,
0.01923222839832306,0.01923222839832306,8,1151,,,,,,,,,,,,,,,,,,,,,
0.019147705286741257,0.019147705286741257,9,1279,,,,,,,,,,,,,,,,,,,,,
0.0186514500528574,0.0186514500528574,10,1407,,,,,,,,,,,,,,,,,,,,,
0.01783161796629429,0.01783161796629429,11,1535,,,,,,,,,,,,,,,,,,,,,
0.017827928066253662,0.017827928066253662,12,1663,,,,,,,,,,,,,,,,,,,,,
0.016416285187005997,0.016416285187005997,13,1791,,,,,,,,,,,,,,,,,,,,,
0.014705687761306763,0.014705687761306763,14,1919,,,,,,,,,,,,,,,,,,,,,
0.015221550129354,0.015221550129354,15,2047,,,,,,,,,,,,,,,,,,,,,
0.014699753373861313,0.014699753373861313,16,2175,,,,,,,,,,,,,,,,,,,,,
0.015030168928205967,0.015030168928205967,17,2303,,,,,,,,,,,,,,,,,,,,,
0.014926550909876823,0.014926550909876823,18,2431,,,,,,,,,,,,,,,,,,,,,
0.012797809205949306,0.012797809205949306,19,2559,,,,,,,,,,,,,,,,,,,,,
0.014714958146214485,0.014714958146214485,20,2687,,,,,,,,,,,,,,,,,,,,,
0.012839525938034058,0.012839525938034058,21,2815,,,,,,,,,,,,,,,,,,,,,
0.013275887817144394,0.013275887817144394,22,2943,,,,,,,,,,,,,,,,,,,,,
0.012238423340022564,0.012238423340022564,23,3071,,,,,,,,,,,,,,,,,,,,,
0.012756927870213985,0.012756927870213985,24,3199,,,,,,,,,,,,,,,,,,,,,
0.012188884429633617,0.012188884429633617,25,3327,,,,,,,,,,,,,,,,,,,,,
0.01215165015310049,0.01215165015310049,26,3455,,,,,,,,,,,,,,,,,,,,,
0.011373355984687805,0.011373355984687805,27,3583,,,,,,,,,,,,,,,,,,,,,
0.011918855831027031,0.011918855831027031,28,3711,,,,,,,,,,,,,,,,,,,,,
0.011187247931957245,0.011187247931957245,29,3839,,,,,,,,,,,,,,,,,,,,,
0.010992803610861301,0.010992803610861301,30,3967,,,,,,,,,,,,,,,,,,,,,
0.010546489618718624,0.010546489618718624,31,4095,,,,,,,,,,,,,,,,,,,,,
0.011565341614186764,0.011565341614186764,32,4223,,,,,,,,,,,,,,,,,,,,,
0.010583777911961079,0.010583777911961079,33,4351,,,,,,,,,,,,,,,,,,,,,
0.011093176901340485,0.011093176901340485,34,4479,,,,,,,,,,,,,,,,,,,,,
0.010736462660133839,0.010736462660133839,35,4607,,,,,,,,,,,,,,,,,,,,,
0.010254507884383202,0.010254507884383202,36,4735,,,,,,,,,,,,,,,,,,,,,
0.010860580019652843,0.010860580019652843,37,4863,,,,,,,,,,,,,,,,,,,,,
0.009863067418336868,0.009863067418336868,38,4991,,,,,,,,,,,,,,,,,,,,,
0.010072067379951477,0.010072067379951477,39,5119,,,,,,,,,,,,,,,,,,,,,
0.00938224047422409,0.00938224047422409,40,5247,,,,,,,,,,,,,,,,,,,,,
0.01112004928290844,0.01112004928290844,41,5375,,,,,,,,,,,,,,,,,,,,,
0.010056514292955399,0.010056514292955399,42,5503,,,,,,,,,,,,,,,,,,,,,
0.01083188597112894,0.01083188597112894,43,5631,,,,,,,,,,,,,,,,,,,,,
0.009047001600265503,0.009047001600265503,44,5759,,,,,,,,,,,,,,,,,,,,,
0.00955204013735056,0.00955204013735056,45,5887,,,,,,,,,,,,,,,,,,,,,
0.0097820945084095,0.0097820945084095,46,6015,,,,,,,,,,,,,,,,,,,,,
0.009803696535527706,0.009803696535527706,47,6143,,,,,,,,,,,,,,,,,,,,,
0.009548581205308437,0.009548581205308437,48,6271,,,,,,,,,,,,,,,,,,,,,
0.009128132835030556,0.009128132835030556,49,6399,0.028246778976529482,0.028472837019303827,0.04092050599290031,0.023519939595325366,0.024072445997360827,0.03468080792347112,0.021757120052914178,0.022613313698008803,0.03114232631898582,0.02035463663228006,0.021791948728690762,0.02889951227170593,0.01954407111809338,0.02187963221231445,0.028598910831576285,0.018644015917927064,0.02109536507117461,0.02808383615691279,0.01744274782289972,0.01956551622955371,0.028517955730722536
0.008730954490602016,0.008730954490602016,50,6527,,,,,,,,,,,,,,,,,,,,,
0.009909204207360744,0.009909204207360744,51,6655,,,,,,,,,,,,,,,,,,,,,
0.009432719089090824,0.009432719089090824,52,6783,,,,,,,,,,,,,,,,,,,,,
0.008797247894108295,0.008797247894108295,53,6911,,,,,,,,,,,,,,,,,,,,,
0.008775456808507442,0.008775456808507442,54,7039,,,,,,,,,,,,,,,,,,,,,
0.009222970344126225,0.009222970344126225,55,7167,,,,,,,,,,,,,,,,,,,,,
