train_loss,train_elbo_loss,epoch,step,val_NRMSE_1.0,val_ND_1.0,val_CRPS_1.0,val_NRMSE_2.0,val_ND_2.0,val_CRPS_2.0,val_NRMSE_4.0,val_ND_4.0,val_CRPS_4.0,val_NRMSE_8.0,val_ND_8.0,val_CRPS_8.0,val_NRMSE_16.0,val_ND_16.0,val_CRPS_16.0,val_NRMSE_32.0,val_ND_32.0,val_CRPS_32.0
0.46802273392677307,0.46802273392677307,0,127,,,,,,,,,,,,,,,,,,
0.1331891566514969,0.1331891566514969,1,255,,,,,,,,,,,,,,,,,,
0.05420495942234993,0.05420495942234993,2,383,,,,,,,,,,,,,,,,,,
0.044081609696149826,0.044081609696149826,3,511,,,,,,,,,,,,,,,,,,
0.038489583879709244,0.038489583879709244,4,639,,,,,,,,,,,,,,,,,,
0.035029567778110504,0.035029567778110504,5,767,,,,,,,,,,,,,,,,,,
0.03117833286523819,0.03117833286523819,6,895,,,,,,,,,,,,,,,,,,
0.029196636751294136,0.029196636751294136,7,1023,,,,,,,,,,,,,,,,,,
0.02782616950571537,0.02782616950571537,8,1151,,,,,,,,,,,,,,,,,,
0.027616482228040695,0.027616482228040695,9,1279,,,,,,,,,,,,,,,,,,
0.027314193546772003,0.027314193546772003,10,1407,,,,,,,,,,,,,,,,,,
0.025578858330845833,0.025578858330845833,11,1535,,,,,,,,,,,,,,,,,,
0.02601436898112297,0.02601436898112297,12,1663,,,,,,,,,,,,,,,,,,
0.02467789687216282,0.02467789687216282,13,1791,,,,,,,,,,,,,,,,,,
0.02277667261660099,0.02277667261660099,14,1919,,,,,,,,,,,,,,,,,,
0.022333383560180664,0.022333383560180664,15,2047,,,,,,,,,,,,,,,,,,
0.02281896211206913,0.02281896211206913,16,2175,,,,,,,,,,,,,,,,,,
0.023156005889177322,0.023156005889177322,17,2303,,,,,,,,,,,,,,,,,,
0.023603180423378944,0.023603180423378944,18,2431,,,,,,,,,,,,,,,,,,
0.021534087136387825,0.021534087136387825,19,2559,,,,,,,,,,,,,,,,,,
0.02175666019320488,0.02175666019320488,20,2687,,,,,,,,,,,,,,,,,,
0.020960113033652306,0.020960113033652306,21,2815,,,,,,,,,,,,,,,,,,
0.021222924813628197,0.021222924813628197,22,2943,,,,,,,,,,,,,,,,,,
0.020984480157494545,0.020984480157494545,23,3071,,,,,,,,,,,,,,,,,,
0.020651986822485924,0.020651986822485924,24,3199,,,,,,,,,,,,,,,,,,
0.019722534343600273,0.019722534343600273,25,3327,,,,,,,,,,,,,,,,,,
0.0200973991304636,0.0200973991304636,26,3455,,,,,,,,,,,,,,,,,,
0.018662141636013985,0.018662141636013985,27,3583,,,,,,,,,,,,,,,,,,
0.020156558603048325,0.020156558603048325,28,3711,,,,,,,,,,,,,,,,,,
0.018624024465680122,0.018624024465680122,29,3839,,,,,,,,,,,,,,,,,,
0.018553614616394043,0.018553614616394043,30,3967,,,,,,,,,,,,,,,,,,
0.017800703644752502,0.017800703644752502,31,4095,,,,,,,,,,,,,,,,,,
0.01902756094932556,0.01902756094932556,32,4223,,,,,,,,,,,,,,,,,,
0.018432172015309334,0.018432172015309334,33,4351,,,,,,,,,,,,,,,,,,
0.018049366772174835,0.018049366772174835,34,4479,,,,,,,,,,,,,,,,,,
0.0186250451952219,0.0186250451952219,35,4607,,,,,,,,,,,,,,,,,,
0.017835671082139015,0.017835671082139015,36,4735,,,,,,,,,,,,,,,,,,
0.01814040169119835,0.01814040169119835,37,4863,,,,,,,,,,,,,,,,,,
0.016908910125494003,0.016908910125494003,38,4991,,,,,,,,,,,,,,,,,,
0.01693381741642952,0.01693381741642952,39,5119,,,,,,,,,,,,,,,,,,
0.01654103212058544,0.01654103212058544,40,5247,,,,,,,,,,,,,,,,,,
0.017523877322673798,0.017523877322673798,41,5375,,,,,,,,,,,,,,,,,,
0.01676081120967865,0.01676081120967865,42,5503,,,,,,,,,,,,,,,,,,
0.017632806673645973,0.017632806673645973,43,5631,,,,,,,,,,,,,,,,,,
0.01683535799384117,0.01683535799384117,44,5759,,,,,,,,,,,,,,,,,,
0.01706591434776783,0.01706591434776783,45,5887,,,,,,,,,,,,,,,,,,
0.016827093437314034,0.016827093437314034,46,6015,,,,,,,,,,,,,,,,,,
0.0171675942838192,0.0171675942838192,47,6143,,,,,,,,,,,,,,,,,,
0.016721203923225403,0.016721203923225403,48,6271,,,,,,,,,,,,,,,,,,
0.015891259536147118,0.015891259536147118,49,6399,0.04067688185314605,0.041334011042091855,0.034521146893891214,0.06080107558738417,0.060108662126787234,0.04340899549210221,0.059618795556215735,0.049972139360299636,0.04111727155653616,0.047922000361224106,0.037303722497124964,0.032438059676510804,0.043498307569142115,0.03205384455497102,0.02822264827581876,0.036602105652625526,0.025407152238743663,0.0225366524485497
0.016719605773687363,0.016719605773687363,50,6527,,,,,,,,,,,,,,,,,,
0.016582651063799858,0.016582651063799858,51,6655,,,,,,,,,,,,,,,,,,
0.01587541401386261,0.01587541401386261,52,6783,,,,,,,,,,,,,,,,,,
0.016711212694644928,0.016711212694644928,53,6911,,,,,,,,,,,,,,,,,,
0.015971733257174492,0.015971733257174492,54,7039,,,,,,,,,,,,,,,,,,
0.016136247664690018,0.016136247664690018,55,7167,,,,,,,,,,,,,,,,,,
0.01632244512438774,0.01632244512438774,56,7295,,,,,,,,,,,,,,,,,,
0.0162129495292902,0.0162129495292902,57,7423,,,,,,,,,,,,,,,,,,
0.01619848608970642,0.01619848608970642,58,7551,,,,,,,,,,,,,,,,,,
0.01636895164847374,0.01636895164847374,59,7679,,,,,,,,,,,,,,,,,,
0.015607032924890518,0.015607032924890518,60,7807,,,,,,,,,,,,,,,,,,
0.015571431256830692,0.015571431256830692,61,7935,,,,,,,,,,,,,,,,,,
0.016248850151896477,0.016248850151896477,62,8063,,,,,,,,,,,,,,,,,,
0.015582220628857613,0.015582220628857613,63,8191,,,,,,,,,,,,,,,,,,
0.015712933614850044,0.015712933614850044,64,8319,,,,,,,,,,,,,,,,,,
0.014565123245120049,0.014565123245120049,65,8447,,,,,,,,,,,,,,,,,,
0.014839168637990952,0.014839168637990952,66,8575,,,,,,,,,,,,,,,,,,
0.01583259552717209,0.01583259552717209,67,8703,,,,,,,,,,,,,,,,,,
0.014970025047659874,0.014970025047659874,68,8831,,,,,,,,,,,,,,,,,,
0.01595619134604931,0.01595619134604931,69,8959,,,,,,,,,,,,,,,,,,
0.015815768390893936,0.015815768390893936,70,9087,,,,,,,,,,,,,,,,,,
0.015818815678358078,0.015818815678358078,71,9215,,,,,,,,,,,,,,,,,,
0.015730654820799828,0.015730654820799828,72,9343,,,,,,,,,,,,,,,,,,
0.014692413620650768,0.014692413620650768,73,9471,,,,,,,,,,,,,,,,,,
0.014555723406374454,0.014555723406374454,74,9599,,,,,,,,,,,,,,,,,,
0.014658214524388313,0.014658214524388313,75,9727,,,,,,,,,,,,,,,,,,
