train_loss,train_elbo_loss,epoch,step,val_CRPS_2.0,val_NRMSE_2.0,val_ND_2.0,val_CRPS_4.0,val_NRMSE_4.0,val_ND_4.0,val_CRPS_8.0,val_NRMSE_8.0,val_ND_8.0,val_CRPS_16.0,val_NRMSE_16.0,val_ND_16.0,val_CRPS_24.0,val_NRMSE_24.0,val_ND_24.0,val_CRPS_32.0,val_NRMSE_32.0,val_ND_32.0
0.7203067541122437,0.7203067541122437,0,127,,,,,,,,,,,,,,,,,,
0.44202831387519836,0.44202831387519836,1,255,,,,,,,,,,,,,,,,,,
0.31663385033607483,0.31663385033607483,2,383,,,,,,,,,,,,,,,,,,
0.2770806550979614,0.2770806550979614,3,511,,,,,,,,,,,,,,,,,,
0.25927871465682983,0.25927871465682983,4,639,,,,,,,,,,,,,,,,,,
0.24597695469856262,0.24597695469856262,5,767,,,,,,,,,,,,,,,,,,
0.22837069630622864,0.22837069630622864,6,895,,,,,,,,,,,,,,,,,,
0.22311493754386902,0.22311493754386902,7,1023,,,,,,,,,,,,,,,,,,
0.2192327231168747,0.2192327231168747,8,1151,,,,,,,,,,,,,,,,,,
0.21736131608486176,0.21736131608486176,9,1279,,,,,,,,,,,,,,,,,,
0.21087037026882172,0.21087037026882172,10,1407,,,,,,,,,,,,,,,,,,
0.20543207228183746,0.20543207228183746,11,1535,,,,,,,,,,,,,,,,,,
0.2057042419910431,0.2057042419910431,12,1663,,,,,,,,,,,,,,,,,,
0.20296843349933624,0.20296843349933624,13,1791,,,,,,,,,,,,,,,,,,
0.19291971623897552,0.19291971623897552,14,1919,,,,,,,,,,,,,,,,,,
0.19491273164749146,0.19491273164749146,15,2047,,,,,,,,,,,,,,,,,,
0.19272121787071228,0.19272121787071228,16,2175,,,,,,,,,,,,,,,,,,
0.19212056696414948,0.19212056696414948,17,2303,,,,,,,,,,,,,,,,,,
0.19409915804862976,0.19409915804862976,18,2431,,,,,,,,,,,,,,,,,,
0.18781469762325287,0.18781469762325287,19,2559,,,,,,,,,,,,,,,,,,
0.18748009204864502,0.18748009204864502,20,2687,,,,,,,,,,,,,,,,,,
0.18323302268981934,0.18323302268981934,21,2815,,,,,,,,,,,,,,,,,,
0.18573784828186035,0.18573784828186035,22,2943,,,,,,,,,,,,,,,,,,
0.18727828562259674,0.18727828562259674,23,3071,,,,,,,,,,,,,,,,,,
0.18272902071475983,0.18272902071475983,24,3199,,,,,,,,,,,,,,,,,,
0.1796998232603073,0.1796998232603073,25,3327,,,,,,,,,,,,,,,,,,
0.18048590421676636,0.18048590421676636,26,3455,,,,,,,,,,,,,,,,,,
0.17587006092071533,0.17587006092071533,27,3583,,,,,,,,,,,,,,,,,,
0.17705120146274567,0.17705120146274567,28,3711,,,,,,,,,,,,,,,,,,
0.17240728437900543,0.17240728437900543,29,3839,,,,,,,,,,,,,,,,,,
0.17184466123580933,0.17184466123580933,30,3967,,,,,,,,,,,,,,,,,,
0.16955527663230896,0.16955527663230896,31,4095,,,,,,,,,,,,,,,,,,
0.17199566960334778,0.17199566960334778,32,4223,,,,,,,,,,,,,,,,,,
0.16997051239013672,0.16997051239013672,33,4351,,,,,,,,,,,,,,,,,,
0.16884174942970276,0.16884174942970276,34,4479,,,,,,,,,,,,,,,,,,
0.17014366388320923,0.17014366388320923,35,4607,,,,,,,,,,,,,,,,,,
0.1676729917526245,0.1676729917526245,36,4735,,,,,,,,,,,,,,,,,,
0.16573768854141235,0.16573768854141235,37,4863,,,,,,,,,,,,,,,,,,
0.16416947543621063,0.16416947543621063,38,4991,,,,,,,,,,,,,,,,,,
0.16418808698654175,0.16418808698654175,39,5119,,,,,,,,,,,,,,,,,,
0.16277416050434113,0.16277416050434113,40,5247,,,,,,,,,,,,,,,,,,
0.16512350738048553,0.16512350738048553,41,5375,,,,,,,,,,,,,,,,,,
0.15915325284004211,0.15915325284004211,42,5503,,,,,,,,,,,,,,,,,,
0.16296137869358063,0.16296137869358063,43,5631,,,,,,,,,,,,,,,,,,
0.16585636138916016,0.16585636138916016,44,5759,,,,,,,,,,,,,,,,,,
0.16208183765411377,0.16208183765411377,45,5887,,,,,,,,,,,,,,,,,,
0.16169500350952148,0.16169500350952148,46,6015,,,,,,,,,,,,,,,,,,
0.16047605872154236,0.16047605872154236,47,6143,,,,,,,,,,,,,,,,,,
0.16170866787433624,0.16170866787433624,48,6271,,,,,,,,,,,,,,,,,,
0.15826067328453064,0.15826067328453064,49,6399,0.1451681447532452,0.44617714890039667,0.1607053092326012,0.12603886986006713,0.39757621936327703,0.1461227571603288,0.12033594540094662,0.3808687347548495,0.14280375142478616,0.12120854353516397,0.3785282629244449,0.15050757272277882,0.13012642283274306,0.39008470553064367,0.17231650743871102,0.1479815260048893,0.4287846297920076,0.209440397379816
0.15897038578987122,0.15897038578987122,50,6527,,,,,,,,,,,,,,,,,,
0.16085588932037354,0.16085588932037354,51,6655,,,,,,,,,,,,,,,,,,
0.15832768380641937,0.15832768380641937,52,6783,,,,,,,,,,,,,,,,,,
0.1582770049571991,0.1582770049571991,53,6911,,,,,,,,,,,,,,,,,,
0.15725234150886536,0.15725234150886536,54,7039,,,,,,,,,,,,,,,,,,
0.15455107390880585,0.15455107390880585,55,7167,,,,,,,,,,,,,,,,,,
0.15595535933971405,0.15595535933971405,56,7295,,,,,,,,,,,,,,,,,,
0.1532062590122223,0.1532062590122223,57,7423,,,,,,,,,,,,,,,,,,
0.15723146498203278,0.15723146498203278,58,7551,,,,,,,,,,,,,,,,,,
0.15388096868991852,0.15388096868991852,59,7679,,,,,,,,,,,,,,,,,,
0.1547035127878189,0.1547035127878189,60,7807,,,,,,,,,,,,,,,,,,
0.15569071471691132,0.15569071471691132,61,7935,,,,,,,,,,,,,,,,,,
0.15413017570972443,0.15413017570972443,62,8063,,,,,,,,,,,,,,,,,,
0.14916695654392242,0.14916695654392242,63,8191,,,,,,,,,,,,,,,,,,
0.15394805371761322,0.15394805371761322,64,8319,,,,,,,,,,,,,,,,,,
0.15319357812404633,0.15319357812404633,65,8447,,,,,,,,,,,,,,,,,,
0.14922702312469482,0.14922702312469482,66,8575,,,,,,,,,,,,,,,,,,
0.15279649198055267,0.15279649198055267,67,8703,,,,,,,,,,,,,,,,,,
0.15355806052684784,0.15355806052684784,68,8831,,,,,,,,,,,,,,,,,,
0.15202596783638,0.15202596783638,69,8959,,,,,,,,,,,,,,,,,,
0.15134844183921814,0.15134844183921814,70,9087,,,,,,,,,,,,,,,,,,
0.15314285457134247,0.15314285457134247,71,9215,,,,,,,,,,,,,,,,,,
0.14801082015037537,0.14801082015037537,72,9343,,,,,,,,,,,,,,,,,,
0.15278083086013794,0.15278083086013794,73,9471,,,,,,,,,,,,,,,,,,
0.15380345284938812,0.15380345284938812,74,9599,,,,,,,,,,,,,,,,,,
0.1518843173980713,0.1518843173980713,75,9727,,,,,,,,,,,,,,,,,,
0.151247039437294,0.151247039437294,76,9855,,,,,,,,,,,,,,,,,,
0.1497090458869934,0.1497090458869934,77,9983,,,,,,,,,,,,,,,,,,
0.15051299333572388,0.15051299333572388,78,10111,,,,,,,,,,,,,,,,,,
0.14505811035633087,0.14505811035633087,79,10239,,,,,,,,,,,,,,,,,,
0.1491483449935913,0.1491483449935913,80,10367,,,,,,,,,,,,,,,,,,
0.14751562476158142,0.14751562476158142,81,10495,,,,,,,,,,,,,,,,,,
0.14932924509048462,0.14932924509048462,82,10623,,,,,,,,,,,,,,,,,,
0.15038923919200897,0.15038923919200897,83,10751,,,,,,,,,,,,,,,,,,
0.14724169671535492,0.14724169671535492,84,10879,,,,,,,,,,,,,,,,,,
0.14571529626846313,0.14571529626846313,85,11007,,,,,,,,,,,,,,,,,,
0.14773397147655487,0.14773397147655487,86,11135,,,,,,,,,,,,,,,,,,
0.14590482413768768,0.14590482413768768,87,11263,,,,,,,,,,,,,,,,,,
0.1439078450202942,0.1439078450202942,88,11391,,,,,,,,,,,,,,,,,,
0.14537131786346436,0.14537131786346436,89,11519,,,,,,,,,,,,,,,,,,
0.14756238460540771,0.14756238460540771,90,11647,,,,,,,,,,,,,,,,,,
0.1458040177822113,0.1458040177822113,91,11775,,,,,,,,,,,,,,,,,,
0.14437630772590637,0.14437630772590637,92,11903,,,,,,,,,,,,,,,,,,
0.14716693758964539,0.14716693758964539,93,12031,,,,,,,,,,,,,,,,,,
0.1411982923746109,0.1411982923746109,94,12159,,,,,,,,,,,,,,,,,,
0.14421331882476807,0.14421331882476807,95,12287,,,,,,,,,,,,,,,,,,
0.14401023089885712,0.14401023089885712,96,12415,,,,,,,,,,,,,,,,,,
0.1434706449508667,0.1434706449508667,97,12543,,,,,,,,,,,,,,,,,,
0.1437404900789261,0.1437404900789261,98,12671,,,,,,,,,,,,,,,,,,
0.1429375857114792,0.1429375857114792,99,12799,0.14829341039619665,0.45171869767528017,0.1641254762840984,0.12662736480402145,0.39830863803395844,0.1499671095235858,0.12149746026565593,0.38278074570406556,0.14804466422391102,0.12084062418000213,0.37898017891764285,0.151147644793153,0.12517424508895328,0.38967430355908644,0.16224348905983993,0.13362213733684636,0.4139332338281866,0.1805274237072247
0.14405860006809235,0.14405860006809235,100,12927,,,,,,,,,,,,,,,,,,
0.14334318041801453,0.14334318041801453,101,13055,,,,,,,,,,,,,,,,,,
0.14331386983394623,0.14331386983394623,102,13183,,,,,,,,,,,,,,,,,,
0.14188235998153687,0.14188235998153687,103,13311,,,,,,,,,,,,,,,,,,
0.14053931832313538,0.14053931832313538,104,13439,,,,,,,,,,,,,,,,,,
0.1407262235879898,0.1407262235879898,105,13567,,,,,,,,,,,,,,,,,,
0.1405138522386551,0.1405138522386551,106,13695,,,,,,,,,,,,,,,,,,
0.1433391124010086,0.1433391124010086,107,13823,,,,,,,,,,,,,,,,,,
0.14088240265846252,0.14088240265846252,108,13951,,,,,,,,,,,,,,,,,,
0.14233621954917908,0.14233621954917908,109,14079,,,,,,,,,,,,,,,,,,
0.13962042331695557,0.13962042331695557,110,14207,,,,,,,,,,,,,,,,,,
0.13998377323150635,0.13998377323150635,111,14335,,,,,,,,,,,,,,,,,,
0.13966591656208038,0.13966591656208038,112,14463,,,,,,,,,,,,,,,,,,
0.13910986483097076,0.13910986483097076,113,14591,,,,,,,,,,,,,,,,,,
0.14156067371368408,0.14156067371368408,114,14719,,,,,,,,,,,,,,,,,,
0.14418992400169373,0.14418992400169373,115,14847,,,,,,,,,,,,,,,,,,
0.14103062450885773,0.14103062450885773,116,14975,,,,,,,,,,,,,,,,,,
0.14154593646526337,0.14154593646526337,117,15103,,,,,,,,,,,,,,,,,,
0.14192846417427063,0.14192846417427063,118,15231,,,,,,,,,,,,,,,,,,
0.13925056159496307,0.13925056159496307,119,15359,,,,,,,,,,,,,,,,,,
0.13760288059711456,0.13760288059711456,120,15487,,,,,,,,,,,,,,,,,,
0.1393822431564331,0.1393822431564331,121,15615,,,,,,,,,,,,,,,,,,
0.13749274611473083,0.13749274611473083,122,15743,,,,,,,,,,,,,,,,,,
0.13975365459918976,0.13975365459918976,123,15871,,,,,,,,,,,,,,,,,,
0.13810108602046967,0.13810108602046967,124,15999,,,,,,,,,,,,,,,,,,
0.13917380571365356,0.13917380571365356,125,16127,,,,,,,,,,,,,,,,,,
0.13787652552127838,0.13787652552127838,126,16255,,,,,,,,,,,,,,,,,,
0.13893944025039673,0.13893944025039673,127,16383,,,,,,,,,,,,,,,,,,
0.1358538568019867,0.1358538568019867,128,16511,,,,,,,,,,,,,,,,,,
0.1415107250213623,0.1415107250213623,129,16639,,,,,,,,,,,,,,,,,,
0.13682471215724945,0.13682471215724945,130,16767,,,,,,,,,,,,,,,,,,
0.13821831345558167,0.13821831345558167,131,16895,,,,,,,,,,,,,,,,,,
0.14006146788597107,0.14006146788597107,132,17023,,,,,,,,,,,,,,,,,,
0.1366392970085144,0.1366392970085144,133,17151,,,,,,,,,,,,,,,,,,
0.14081290364265442,0.14081290364265442,134,17279,,,,,,,,,,,,,,,,,,
0.13658323884010315,0.13658323884010315,135,17407,,,,,,,,,,,,,,,,,,
0.13842365145683289,0.13842365145683289,136,17535,,,,,,,,,,,,,,,,,,
0.13818369805812836,0.13818369805812836,137,17663,,,,,,,,,,,,,,,,,,
0.13870930671691895,0.13870930671691895,138,17791,,,,,,,,,,,,,,,,,,
0.13558024168014526,0.13558024168014526,139,17919,,,,,,,,,,,,,,,,,,
0.13601478934288025,0.13601478934288025,140,18047,,,,,,,,,,,,,,,,,,
0.13658061623573303,0.13658061623573303,141,18175,,,,,,,,,,,,,,,,,,
0.13687355816364288,0.13687355816364288,142,18303,,,,,,,,,,,,,,,,,,
0.13690003752708435,0.13690003752708435,143,18431,,,,,,,,,,,,,,,,,,
0.13548634946346283,0.13548634946346283,144,18559,,,,,,,,,,,,,,,,,,
0.13514037430286407,0.13514037430286407,145,18687,,,,,,,,,,,,,,,,,,
0.13540050387382507,0.13540050387382507,146,18815,,,,,,,,,,,,,,,,,,
0.1373477280139923,0.1373477280139923,147,18943,,,,,,,,,,,,,,,,,,
0.13762055337429047,0.13762055337429047,148,19071,,,,,,,,,,,,,,,,,,
0.13524563610553741,0.13524563610553741,149,19199,0.15486687276112085,0.46487056326319476,0.1627231848674374,0.13181339233766562,0.4097290109898989,0.14390679478556317,0.12399476541152035,0.3880187442717222,0.1400520906694054,0.11994498641506064,0.3795311158735585,0.1418730974971789,0.12144247727007268,0.38458357562954165,0.14903666418978934,0.12515617576649202,0.3955433159368946,0.1591780621711682
0.13861073553562164,0.13861073553562164,150,19327,,,,,,,,,,,,,,,,,,
0.1335386037826538,0.1335386037826538,151,19455,,,,,,,,,,,,,,,,,,
0.1351887732744217,0.1351887732744217,152,19583,,,,,,,,,,,,,,,,,,
