train_loss,train_elbo_loss,epoch,step,val_NRMSE_1.0,val_CRPS_1.0,val_ND_1.0,val_NRMSE_2.0,val_CRPS_2.0,val_ND_2.0,val_NRMSE_4.0,val_CRPS_4.0,val_ND_4.0,val_NRMSE_8.0,val_CRPS_8.0,val_ND_8.0,val_NRMSE_16.0,val_CRPS_16.0,val_ND_16.0,val_NRMSE_24.0,val_CRPS_24.0,val_ND_24.0
0.27765727043151855,0.27765727043151855,0,127,,,,,,,,,,,,,,,,,,
0.15690024197101593,0.15690024197101593,1,255,,,,,,,,,,,,,,,,,,
0.12857353687286377,0.12857353687286377,2,383,,,,,,,,,,,,,,,,,,
0.11812006682157516,0.11812006682157516,3,511,,,,,,,,,,,,,,,,,,
0.10992433875799179,0.10992433875799179,4,639,,,,,,,,,,,,,,,,,,
0.10399758815765381,0.10399758815765381,5,767,,,,,,,,,,,,,,,,,,
0.09970612823963165,0.09970612823963165,6,895,,,,,,,,,,,,,,,,,,
0.09521439671516418,0.09521439671516418,7,1023,,,,,,,,,,,,,,,,,,
0.09409786015748978,0.09409786015748978,8,1151,,,,,,,,,,,,,,,,,,
0.0929078459739685,0.0929078459739685,9,1279,,,,,,,,,,,,,,,,,,
0.09057743847370148,0.09057743847370148,10,1407,,,,,,,,,,,,,,,,,,
0.08908041566610336,0.08908041566610336,11,1535,,,,,,,,,,,,,,,,,,
0.0898323729634285,0.0898323729634285,12,1663,,,,,,,,,,,,,,,,,,
0.08786168694496155,0.08786168694496155,13,1791,,,,,,,,,,,,,,,,,,
0.0848885029554367,0.0848885029554367,14,1919,,,,,,,,,,,,,,,,,,
0.08506553620100021,0.08506553620100021,15,2047,,,,,,,,,,,,,,,,,,
0.08332470059394836,0.08332470059394836,16,2175,,,,,,,,,,,,,,,,,,
0.08387432247400284,0.08387432247400284,17,2303,,,,,,,,,,,,,,,,,,
0.08404675126075745,0.08404675126075745,18,2431,,,,,,,,,,,,,,,,,,
